abstract,output
 رئیس سازمان برنامه و بودجه گفت: هر زمان شرایط و فضای اقتصادی کشور مساعد باشد، می‌توان به تدریج حذف ارز ترجیحی را عملیاتی کرد و در حال حاضر برای حذف ارز ۴۲۰۰ تومانی زمان و تاریخ مشخصی را نمی‌توان تعیین کرد. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('سازمان', 'B-organization'), ('برنامه', 'I-organization'), ('و', 'I-organization'), ('بودجه', 'I-organization'), ('گفت', 'O'), (':', 'O'), ('هر', 'O'), ('زمان', 'O'), ('شرایط', 'O'), ('و', 'O'), ('فضای', 'O'), ('اقتصادی', 'O'), ('کشور', 'O'), ('مساعد', 'O'), ('باشد', 'O'), ('،', 'O'), ('میتوان', 'O'), ('به', 'O'), ('تدریج', 'O'), ('حذف', 'O'), ('ارز', 'O'), ('ترجیحی', 'O'), ('را', 'O'), ('عملیاتی', 'O'), ('کرد', 'O'), ('و', 'O'), ('در', 'O'), ('حال', 'O'), ('حاضر', 'O'), ('برای', 'O'), ('حذف', 'O'), ('ارز', 'O'), ('۴۲۰۰', 'B-money'), ('تومانی', 'I-money'), ('زمان', 'O'), ('و', 'O'), ('تاریخ', 'O'), ('مشخصی', 'O'), ('را', 'O'), ('نمیتوان', 'O'), ('تعیین', 'O'), ('کرد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 نماینده نیشابور در مجلس از ارائه طرح ۲ فوریتی شفافیت قوای سه‌گانه دستگاه‌های اجرایی و نهادهای عمومی غیردولتی با بیش از ۲۰۰ امضا به هیئت رئیسه مجلس خبر داد. ,"[[('[CLS]', 'O'), ('نماینده', 'O'), ('نیشابور', 'B-location'), ('در', 'O'), ('مجلس', 'O'), ('از', 'O'), ('ارايه', 'O'), ('طرح', 'O'), ('۲', 'O'), ('فوریتی', 'O'), ('شفافیت', 'O'), ('قوای', 'O'), ('سهگانه', 'O'), ('دستگاههای', 'O'), ('اجرایی', 'O'), ('و', 'O'), ('نهادهای', 'O'), ('عمومی', 'O'), ('غیردولتی', 'O'), ('با', 'O'), ('بیش', 'O'), ('از', 'O'), ('۲۰۰', 'O'), ('امضا', 'O'), ('به', 'O'), ('هیيت', 'O'), ('ريیسه', 'O'), ('مجلس', 'O'), ('خبر', 'O'), ('داد', 'O'), ('.', 'O')]]"
 رئیس جمهور کشورمان طی پیامی انتخاب نخست وزیر جدید پاکستان را تبریک گفت. ,"[[('[CLS]', 'O'), ('ريیس', 'O'), ('جمهور', 'O'), ('کشورمان', 'O'), ('طی', 'O'), ('پیامی', 'O'), ('انتخاب', 'O'), ('نخست', 'O'), ('وزیر', 'B-organization'), ('جدید', 'O'), ('پاکستان', 'O'), ('را', 'O'), ('تبریک', 'O'), ('گفت', 'O')]]"
 اساسنامه شرکت شهر فرودگاهی امام خمینی(ره) در جلسه هیئت وزیران اصلاح شد. ,"[[('[CLS]', 'O'), ('اساسنامه', 'O'), ('شرکت', 'B-organization'), ('شهر', 'I-organization'), ('فرودگاهی', 'I-organization'), ('امام', 'I-organization'), ('خمینی', 'I-organization'), ('(', 'I-organization'), ('ره', 'O'), (')', 'I-organization'), ('در', 'O'), ('جلسه', 'O'), ('هیيت', 'O'), ('وزیران', 'O'), ('اصلاح', 'O'), ('شد', 'O'), ('.', 'O')]]"
 نماینده مردم تهران گفت: در شرایطی که طرح شفافیت آرای نمایندگان معطل در دستور کار قرار گرفتن است، ارائه طرحی کلی و مبهم برای شفافیت، به نوعی فرار از مطالبه به‌حق مردم است. ,"[[('[CLS]', 'O'), ('نماینده', 'O'), ('مردم', 'O'), ('تهران', 'B-location'), ('گفت', 'O'), (':', 'O'), ('در', 'O'), ('شرایطی', 'O'), ('که', 'O'), ('طرح', 'O'), ('شفافیت', 'O'), ('ارای', 'O'), ('نمایندگان', 'O'), ('معطل', 'O'), ('در', 'O'), ('دستور', 'O'), ('کار', 'O'), ('قرار', 'O'), ('گرفتن', 'O'), ('است', 'O'), ('،', 'O'), ('ارايه', 'O'), ('طرحی', 'O'), ('کلی', 'O'), ('و', 'O'), ('مبهم', 'O'), ('برای', 'O'), ('شفافیت', 'O'), ('،', 'O'), ('به', 'O'), ('نوعی', 'O'), ('فرار', 'O'), ('از', 'O'), ('مطالبه', 'O'), ('بهحق', 'O'), ('مردم', 'O'), ('است', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 عضو کمیسیون شوراهای مجلس تفاوت‌های طرح جدید شفافیت آرای نمایندگان را تشریح کرد. ,"[[('[CLS]', 'O'), ('عضو', 'O'), ('کمیسیون', 'B-organization'), ('شوراهای', 'I-organization'), ('مجلس', 'I-organization'), ('تفاوتهای', 'O'), ('طرح', 'O'), ('جدید', 'O'), ('شفافیت', 'O'), ('ارای', 'O'), ('نمایندگان', 'O'), ('را', 'O'), ('تشریح', 'O'), ('کرد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 رئیس‌جمهور استمرار رعایت کامل شیوه‌نامه‌های بهداشتی را مورد تاکید قرار داد و گفت: گذشت زمان و کاهش شدت بیماری کرونا نباید موجب عادی‌انگاری و سستی در رعایت دستورالعمل‌های بهداشتی شود. ,"[[('[CLS]', 'O'), ('ريیسجمهور', 'O'), ('استمرار', 'O'), ('رعایت', 'O'), ('کامل', 'O'), ('شیوهنامه', 'O'), ('##های', 'O'), ('بهداشتی', 'O'), ('را', 'O'), ('مورد', 'O'), ('تاکید', 'O'), ('قرار', 'O'), ('داد', 'O'), ('و', 'O'), ('گفت', 'O'), (':', 'O'), ('گذشت', 'O'), ('زمان', 'O'), ('و', 'O'), ('کاهش', 'O'), ('شدت', 'O'), ('بیماری', 'O'), ('کرونا', 'O'), ('نباید', 'O'), ('موجب', 'O'), ('عادی', 'O'), ('##انگاری', 'O'), ('و', 'O'), ('سستی', 'O'), ('در', 'O'), ('رعایت', 'O'), ('دستورالعملهای', 'O'), ('بهداشتی', 'O'), ('شود', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 نایب رئیس کمیسیون عمران مجلس از راه‌اندزی سامانه‌ای برای نمایش پیشرفت قانون جهش تولید مسکن از سوی وزارت راه و شهرسازی خبر داد. ,"[[('[CLS]', 'O'), ('نایب', 'O'), ('ريیس', 'B-organization'), ('کمیسیون', 'I-organization'), ('عمران', 'I-organization'), ('مجلس', 'O'), ('از', 'O'), ('راهاند', 'O'), ('##زی', 'O'), ('سامانهای', 'O'), ('برای', 'O'), ('نمایش', 'O'), ('پیشرفت', 'O'), ('قانون', 'O'), ('جهش', 'O'), ('تولید', 'O'), ('مسکن', 'O'), ('از', 'O'), ('سوی', 'B-organization'), ('وزارت', 'I-organization'), ('راه', 'I-organization'), ('و', 'I-organization'), ('شهرسازی', 'O'), ('خبر', 'O'), ('داد', 'O'), ('.', 'O')]]"
 عضو شورای مرکزی حزب اعتماد ملی گفت: موضوع استعفای حضرتی در جلسه شورای مرکزی حزب مطرح شد و تقریباً همه اعضا مخالف این استعفا بودند و طی استمزاجی که صورت گرفت، استعفای آقای حضرتی در شورای مرکزی هم رأی نخواهد آورد. ,"[[('[CLS]', 'O'), ('عضو', 'O'), ('شورای', 'B-organization'), ('مرکزی', 'I-organization'), ('حزب', 'I-organization'), ('اعتماد', 'I-organization'), ('ملی', 'I-organization'), ('گفت', 'O'), (':', 'O'), ('موضوع', 'O'), ('استعفای', 'O'), ('حضرتی', 'B-person'), ('در', 'O'), ('جلسه', 'O'), ('شورای', 'O'), ('مرکزی', 'O'), ('حزب', 'O'), ('مطرح', 'O'), ('شد', 'O'), ('و', 'O'), ('تقریبا', 'O'), ('همه', 'O'), ('اعضا', 'O'), ('مخالف', 'O'), ('این', 'O'), ('استعفا', 'O'), ('بودند', 'O'), ('و', 'O'), ('طی', 'O'), ('استم', 'O'), ('##زاج', 'O'), ('##ی', 'O'), ('که', 'O'), ('صورت', 'O'), ('گرفت', 'O'), ('،', 'O'), ('استعفای', 'O'), ('اقای', 'O'), ('حضرتی', 'B-person'), ('در', 'O'), ('شورای', 'O'), ('مرکزی', 'O'), ('هم', 'O'), ('رای', 'O'), ('نخواهد', 'O'), ('اورد', 'O'), ('.', 'O'), ('[SEP]', 'O')]]"
 نایب رئیس کمیسیون برنامه و بودجه مجلس گفت: اگر دولت در قالب لایحه‌ای، درخواست کند که اجرای لایحه ۵ ساله ششم توسعه تمدید شود، می‌توان اجرای آن را به مدت یک سال تمدید کرد. ,"[[('[CLS]', 'O'), ('نایب', 'O'), ('ريیس', 'B-organization'), ('کمیسیون', 'I-organization'), ('برنامه', 'I-organization'), ('و', 'I-organization'), ('بودجه', 'I-organization'), ('مجلس', 'O'), ('گفت', 'O'), (':', 'O'), ('اگر', 'O'), ('دولت', 'O'), ('در', 'O'), ('قالب', 'O'), ('لایحهای', 'O'), ('،', 'O'), ('درخواست', 'O'), ('کند', 'O'), ('که', 'O'), ('اجرای', 'O'), ('لایحه', 'O'), ('۵', 'O'), ('ساله', 'O'), ('ششم', 'O'), ('توسعه', 'O'), ('تمدید', 'O'), ('شود', 'O'), ('،', 'O'), ('میتوان', 'O'), ('اجرای', 'O'), ('ان', 'O'), ('را', 'O'), ('به', 'O'), ('مدت', 'O'), ('یک', 'O'), ('سال', 'O'), ('تمدید', 'O'), ('کرد', 'O'), ('.', 'O')]]"
